product_id,brand_name,product_title,price,avg_product_rating,product_tags,product_url
3445858,Nykaa Cosmetics,Nykaa Cosmetics Breathable Nail Enamel Combo-Easy Nude + Dreamy Dahlia,318,4.0,,https://www.nykaa.com/nykaa-easy-nude-pure-pink-breathable-nail-enamel-combo/p/3445858
3446264,Nykaa Cosmetics,Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria,199,4.0,,https://www.nykaa.com/nykaa-so-matte-mini-lipstick-17-m-cranberry-sangria/p/3446264
3446266,Nykaa Cosmetics,Nykaa Ultra Matte Mini- Cher 14,239,4.0,,https://www.nykaa.com/nykaa-ultra-matte-mini-cher/p/3446266
3446267,Nykaa Cosmetics,Nykaa Ultra Matte Mini- Marilyn - 10,239,4.1,,https://www.nykaa.com/nykaa-ultra-matte-mini-marilyn/p/3446267
3494211,Nykaa Naturals,Nykaa Naturals Reetha & Shikakai Shampoo For Dull & Brittle Hair - Pack Of 2,599,4.0,,https://www.nykaa.com/nykaa-naturals-reetha-shikakai-shampoo-for-dull-brittle-hair-pack-of-2/p/3494211
3494214,Nykaa Naturals,Nykaa Naturals 5 Shampoo Combo-Onion +Apple Cider Vinegar +Amla +Fermented Rice Water+Reetha,1297,4.1,,https://www.nykaa.com/nykaa-naturals-shampoo-combo-5-solutions-to-5-concerns/p/3494214
3597383,Nykaa Cosmetics,Nykaa Cosmetics Gel Shine Manicure- Nail Lacquer + Nail Care + Nail Enamel Remover,798,3.8,,https://www.nykaa.com/nykaa-cosmetics-gel-shine-manicure/p/3597383
3597385,Nykaa Cosmetics,Nykaa Cosmetics Pastel Manicure Kit,736,3.8,,https://www.nykaa.com/nykaa-cosmetics-pastel-manicure-kit/p/3597385
3621132,Kay Beauty,Get Party Ready With Kay Beauty Lip Liner - Dance Off & Matte Lipstick - Premier,1394,4.0,,https://www.nykaa.com/get-party-ready-with-kay-beauty-lip-liner-dance-off-matte-lipstick-premier/p/3621132
3621135,Kay Beauty,Kay Beauty Matte Lips Combo - Lip Crayon - Wee Hours & Matte Lipstick - Backstage,1438,4.0,,https://www.nykaa.com/kay-beauty-matte-lips-combo-lip-crayon-wee-hours-matte-lipstick-backstage/p/3621135
3626216,Nykaa Naturals,Nykaa Love Struck Skip A Beat Body Lotion + Perfume,779,3.9,,https://www.nykaa.com/nykaa-love-struck-skip-a-beat-body-lotion-perfume/p/3626216
3652978,Nykaa Cosmetics,Nykaa Cosmetics BlendPro Highlighting Fan Makeup Brush & Foundation Makeup Brush Combo,674,4.1,,https://www.nykaa.com/nykaa-blendpro-highlighting-fan-makeup-brush-foundation-makeup-brush-combo/p/3652978
3705524,Nykaa Cosmetics,Masaba Signature Kit - Lipstick + Nail Paint + Mini Perfume,768,3.8,,https://www.nykaa.com/masaba-signature-kit-lipstick-nail-paint-mini-perfume/p/3705524
3705529,Nykaa Cosmetics,Moi Day & Night Fragrance Duo - Bisous + Matin,423,4.1,,https://www.nykaa.com/moi-day-night-fragrance-duo-bisous-matin/p/3705529
3753166,Herbal Essences,"Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free",945,4.3,FEATURED,https://www.nykaa.com/herbal-essences-soha-aloe-bamboo-shampoo-conditioner-kit-for-soft-hair-sulphate-paraben-free/p/3753166
3756792,Nykaa Cosmetics,Nykaa Cosmetics Get Set Matte Look- All Day Matte compact powder- Maple + So Creme Matte Lipstick- Day Dreaming,393,4.1,,https://www.nykaa.com/get-set-matte-combo/p/3756792
3756794,Nykaa Cosmetics,Masaba's Fiery Orange Look- Lipstick + Nail enamel- Can't Deal,399,3.5,,https://www.nykaa.com/masaba-s-fiery-orange-combo/p/3756794
3756803,Nykaa Cosmetics,Nykaa Cosmetics Glam Eyes Look-Glamoreyes Coloured Liquid EyelinerChaotic Calypso+Enchanting Forest,478,3.9,,https://www.nykaa.com/glam-eyes-combo/p/3756803
3772408,Kay Beauty,Kat's Bold Night Look - Kay Beauty Matte Lipstick & Liquid Eyeliner,1273,4.0,,https://www.nykaa.com/kat-s-bold-night-look-kay-beauty-matte-lipstick-liquid-eyeliner/p/3772408
3840762,Nykaa Cosmetics,Nykaa Cosmetics Get Set Matte Liquid Lipstick Duo - G.O.A.T + LIT,450,4.1,,https://www.nykaa.com/nykaa-liquid-lipstick-duo/p/3840762
3955542,Nykaa Naturals,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil And Shampoo Combo,749,4.0,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-and-shampoo-combo/p/3955542
3955543,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Hair Oil, Shampoo And Conditioner - Anti Dandruff Combo",978,4.1,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-and-conditioner-combo/p/3955543
3955545,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil, Shampoo And Hair Mask Combo",1118,4.0,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-and-hair-mask-combo/p/3955545
3955546,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil, Shampoo And Hair Wrap Combo",1048,4.0,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-and-hair-wrap-combo/p/3955546
3955547,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Oil, Shampoo, Conditioner & Wrap Combo",1232,4.1,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-conditioner-hair-wrap-combo/p/3955547
3955548,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-Dandruff Oil, Shampoo, Mask & Wrap Combo",1362,4.0,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-hair-mask-hair-wrap-combo/p/3955548
